#This dataset contains all Airdisasters from the past 20 years;;;;;;;;;;;;;;;;;
date;type;registration;operator;location;first_flight;crew;passengers;aircraft_damage;phase;nature;departure_airport;destination_airport;narrative;time;airplane_type;airline;accident_date
7-feb-08;BN-2A-26 Islander;HI-653CA;Caribair;El Prado, El...;1967-10-09  (40 years 4 months);Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 8;Substantial;En route (ENR);Domestic Non Scheduled Passenger;Santiago de los Caballeros-Cibao International Airport (STI/MDST), Dominican Republic;Punta Cana International Airport (PUJ/MDPC), Dominican Republic;The aircraft was on a tourist excursion flight, which originated on the same day at 08:00, from Punta Cana International Airport, Dominican Republic. Destination was Santiago de Los Caballeros, with nine tourists on board. On the return flight, at approximately 70 miles northwest of the Punta Cana Airport, the captain decided to fly to the La Romana Airport (the alternate airport), to refuel because he did not perform this operation at the Cibao Airport and because the fuel quantity indicator in the left tank was inoperative. He had doubts about the remaining fuel in the tanks. On the way to the alternate airport, the no.1 engine failed. The captain attempt to to restart the engine but this failed. Engine no. 2 was still running. The pilot, aware that the fault that turned off engine no.1 was the lack of fuel, made the decision to land in a sugarcane field near El Prado, located in the province of El Seybo, for fear that the remaining engine would also go out, perhaps without a suitable place to land later. Given these conditions, the captain chose a segment of a lane in the middle of two cane fields, where he made the emergency landing. The surface of this trail was not totally flat. After having a landing run of about 100 feet, the nose wheel collided with a stone, breaking the nose landing gear. Directional control was lost and the aircraft turned to the left, entering a cane field.;17:20;Britten-Norman BN-2A-26 Islander;Caribair, S.A.;Thursday 7 February 2008
05-MAY-2001;Cessna 208B Super Cargomaster;N948FE;FedEx, op.for Corporate Air;near Steamboat Sp...;1987;Fatalities: 1 / Occupants: 1;Fatalities: 0 / Occupants: 0;Destroyed;Approach (APR);Cargo;Casper Airport, WY (CPR/KCPR), United States of America;Steamboat Springs Airport, CO (SBS/KSBS), United States of America;Caravan N948FE was owned by Federal Express and operated by Corporate Air as Airspur Flight 8810 (CPT8810) when it departed Casper (CPR) at 07:44 for a cargo flight to Steamboat Springs. At 08:32, the pilot requested the VOR/DME-C instrument approach to the Steamboat Springs Airport (SBS) runway 32. The flight was cleared for the approach via the BQZ (Robert VORTAC) 280 degrees radial 9 DME fix. At 08:39, the pilot was advised that radar services were terminated and frequency change was approved. The pilot's acknowledgement of the clearance was the last radio contact with the flight. At 08:34 the Caravan impacted against the side of Emerald Mountain at an elevation of 7864 feet (2406 m). Airfield elevation is 6878 feet (2104 m).;08:58;Cessna 208B Super Cargomaster;null;Saturday 5 May 2001
6-jun-14;BAe-125-700A;N770PJ ?;Unknown;Apure;1979;Fatalities:  / Occupants:;Fatalities:  / Occupants:;Damaged beyond repair;Unknown (UNK);Illegal Flight;?;?;"A corporate jet that violated Venezuelan airspace was destroyed by military forces, according to a statement by the Defense Minister of Venezuela, Vladimir López Padrino.
The statement did not reveal if the airplane was shot down or if it was destroyed on the ground. The statement claimed the aircraft to be a Cessna 525 Citation, but the accompanying photo shows an HS-125 destroyed on the ground. The registration mark is erased but the start of the registration is still visible: 'N770'. This matches with an HS-125-700A, N770PJ, which was offered for sale prior to the occurrence. Also, the colour scheme on the of N770PJ matches the one of the destroyed airplane.
The last flight recorded by FlightAware was on February 21, 2014 when it travelled from San Antonio, Texas to Monterrey, Mexico.";null;British Aerospace BAe-125-700A;Unknown;Friday 6 June 2014
19-apr-17;Airbus A320-232;HS-TXB;Thai Smile;Bangkok-Suva...;2012-07-18  (4 years 9 months);Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants: 0;Substantial;Standing (STD);Domestic Scheduled Passenger;Bangkok-Suvarnabhumi International Airport (BKK/VTBS), Thailand;Narathiwat Airport (NAW/VTSC), Thailand;"Flight WE291 was preparing for departure when a conveyer belt vehicle hit the lower fuselage skin of the aircraft.

The aircraft was repaired and re-entered service on April 25.";null;Airbus A320-232;Thai Smile;Wednesday 19 April 2017
04-MAR-2009;Cessna 208 Caravan I;5X-ASI;Air Serv Limited;Maridi Airport;1989;Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 4;Substantial;Takeoff (TOF);Unknown;Maridi Airport (HSMD), South Sudan;?;The pilot had to perform a forced landing shortly after take off from Maridi, Sudan, when it suffered engine failure. The airplane landed back on the runway before eventually coming to a stop off the end of the landing strip. Reports indicate that the wing struck a tree during the forced landing. The wing reportedly came off as a result.;null;Cessna 208 Caravan I;Air Serv Limited;Wednesday 4 March 2009
20-MAR-2017;Swearingen SA226-TC Metro II;N158WA;Western Air Express;Boise Air Te...;1981;Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 0;Substantial;Takeoff (TOF);Cargo;Boise Air Terminal, ID (BOI/KBOI), United States of America;Denver-Centennial Airport, CO (APA/KAPA), United States of America;"A Swearingen SA226-TC, N158WA, was substantially damaged due to foreign object damage to the airplane's propeller and
fuselage during initial takeoff/climb from Boise Air Terminal, Idaho, USA.
According to Federal Aviation Administration personnel, about the time the airplane was rotating from runway 10L, the pilot experienced a light vibration; he subsequently returned to BOI and landed uneventfully. During a post-landing examination of the airplane, it was revealed that a portion of the outboard section of a left propeller blade, which had fragmented
into 2 pieces, was missing. Additionally, about a 4 inch by 4 inch puncture hole was observed to have gone through the left forward side of the fuselage just aft of the main air stair door; a piece of the propeller blade was found in the cabin. It was further noted during a runway sweep for foreign objects shortly after the occurrence, that a screw driver which had been used during maintenance on the airplane earlier, and the second piece of the propeller blade tip, were both recovered from the departure runway in the same approximate location from where the airplane would have rotated.";ca 04:00;Swearingen SA226-TC Metro II;Western Air Express;Monday 20 March 2017
8-apr-99;DHC-6 Twin Otter 300;HK-2760;Aerotaca;near Málaga Airport;1981;Fatalities: 2 / Occupants: 2;Fatalities: 3 / Occupants: 3;Damaged beyond repair;En route (ENR);Domestic Scheduled Passenger;Bucaramanga-Palo Negro Airport (BGA/SKBG), Colombia;Málaga Airport (SKLA), Colombia;"The Twin Otter was on a flight from Bucaramanga to Malaga. At 11:33 the pilot reported ten minutes out of Malaga. This was the last radio contact with the flight. The aircraft was found to have crashed into the fog-shrouded La Caida hill at 8000 feet amsl . Weather at Bucaramanga at 11:00 was temperature 20 deg C; 1017 mB, wind calm with drizzle and fog. The accident site is 8 km off the procedural descent pattern.";ca 11:35;de Havilland Canada DHC-6 Twin Otter 300;Aerotaca Colombia - Aerotransportes Casanare;Thursday 8 April 1999
01-MAY-2013;Embraer EMB-145LR (ERJ-145LR);N17560;United Express, opb ExpressJet Airlines;Newark-Liber...;2002;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Substantial;Taxi (TXI);Domestic Scheduled Passenger;Newark-Liberty International Airport, NJ (EWR/KEWR), United States of America;Nashville International Airport, TN (BNA/KBNA), United States of America;"Two passenger jet were damaged in a ground collision accident at Newark-Liberty International Airport, NJ (EWR). There were no injuries.
An Express Jet Embraer E145, flight number 4226 was taxiing northbound on taxiway romeo (R) for departure to Nashville, TN (BNA) from runway 22R and was stationary on Taxiway R between the intersections of taxiways mike (M) and yankee (Y) in sequence for departure. Taxiing behind the Express Jet was a Scandinavian (SAS) Airbus A330-300, flight number SK-908, awaiting departure to Oslo-Gardermoen Airport (OSL). The SAS flight was subject to a departure flow restriction and was advised to turn right at taxiway M and hold short of runway 22R at taxiway M. As the Airbus made the right turn onto taxiway M the left wing struck the horizontal and vertical stabilizer of the Express Jet airplane. The SAS airplane received minor damage and the Express Jet airplane received substantial damage.";19:24;Embraer EMB-145LR (ERJ-145LR);null;Wednesday 1 May 2013
13-feb-03;Cessna 208B Grand Caravan;N1116G;One Leasing;near El Para;1994;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 3;Damaged beyond repair;En route (ENR);Ferry/positioning;Bogotá-Eldorado Airport (BOG/SKBO), Colombia;Florencia Airport (FLA/SKFL), Colombia;"U.S. Caravan N1116G was used by California Microwave Systems on classified counter-drug intelligence missions on behalf of the U.S. military.
It is understood that the airplane left Bogotá (BOG) at 07:24 on a flight to Florencia (FLA) where it was to refuel prior to a mission. Nearing Florencia, at an altitude of 5000 feet, the airplane's single engine suddenly quit. A forced landing was carried out on a bare, grassy hillside. All occupants survived the crash-landing and were found by FARC rebels who then shot and killed two of the crew members. The remaining three were taking hostage. The three hostages were released in July 2008.";08:43;Cessna 208B Grand Caravan;One Leasing;Thursday 13 February 2003
4-apr-16;ATR 42-600;PK-TNJ;TransNusa Aviation Mandiri;Jakarta-Hali...;2014-09-22  (1 year 7 months);Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Pushback / towing (PBT);-;-;-;"Batik Air flight ID7703, operated by a Boeing 737-800 with registration PK-LBS, collided with an ATR-42-600 aircraft on takeoff from runway 24 at Jakarta-Halim Perdana Kusuma Airport (HLP), Indonesia. Dark, night time conditions existed at the time of the accident.
The ATR-42-600, operated by TransNusa Aviation Mandiri and registered PK-TNJ, was parked at stand B-1 on the north apron of Halim Airport and was to be moved from the north to the south apron. For this the aircraft had to cross the active runway.
A towing car was used with a driver and one supporting personnel. Two engineers occupied the pilot seats in the aircraft. The engineers were assigned to apply aircraft brakes if required during the towing process.
The towed aircraft was towed without aircraft electrical power fed to the system and the navigation light, strobe light and the aircraft radio communications were off. The communication between the towing car driver and Halim Tower was performed by a handheld radio communication on frequency 152.7 MHz.
At 19:45 local time flight ID7703 requested pushback clearance to the Halim Tower controller on frequency 118.6 MHz. The aircraft was parked on parking stand B-2 and was approved to push back. 
After the ID7703 completed the pushback, the towing car driver of the towed aircraft requested clearance to Halim Tower Control Unit to reposition from parking stand B-1 to the south apron. The towing car driver was instructed to follow ID7703 and to report when on taxiway C. The communication between the towing car driver and Halim Tower was handled by the assistant controller.
The controller heard the communication between the assistant and towing car driver, he recognized the position of the towed aircraft was on the parking stand B-1. 
The ID7703 flight crew did not know that there was a towing aircraft behind as communications with the car were on a different frequency. At 19:48, ID7703 received taxi clearance to runway 24 via taxiway C.
At 19:50, the controller instructed ID7703 to hold on taxiway C due to an arriving aircraft. The assistant stated that when ID7703 was holding on short taxiway C, the towing car began moving the ATR-42.
At 19:53, ID7703 received clearance from controller to enter runway 24 to back track for departure. The aircraft that had just arrived would use parking stand B-1. Therefore, the assistant controller instructed the towing car driver to expedite the tow and report when on taxiway C. The controller was not observing the ATR at that time. The towing car was about to enter taxiway C at that time.
At 19:56, ID7703 reported ready for takeoff. The controller did not see any vehicle or object on the runway then issued clearance for takeoff. The pilot stated that during line up, the lights surrounding the turn pad were very bright and affected his forward vision for a short time. It was common practice in Halim to lineup at the turn pad beyond the threshold runway 24.
After receiving the takeoff clearance, the Second in Command (SIC) as pilot flying (PF) opened the power and pressed the Take Off / Go Around (TOGA) button.
The towing car driver stated that, when he saw ID7703 was lining up for takeoff, he asked Halim Tower whether ID7703 was initiating the takeoff. There was no reply from Halim Tower. The towing car driver then sped up the towing and turned to the right side of the runway.
When ID7703 was accelerating through approximate 80 knots, the SIC saw an object warned the captain. The pilots could not identify the object but later on when the object became closer, the SIC realized that there was an aircraft.
The captain took over control and applied the right rudder towards the right side of runway centerline and maintained a course between the runway centerline and the runway edge. The PIC intended to reject the takeoff shortly after they felt an impact. The impact occurred at a ground speed of about 130 knots, after passing V1. The pilot rejected takeoff and the aircraft stopped at approximately 400 meter from the towed aircraft which stopped at the left of the runway 24 centerline at approximately 100 meters from taxiway G.
The captain noticed fire on the left wing tip and immediately shut down both engines, activated the fire extinguishers of both engines and Auxiliary Power Unit (APU) and commanded to the flight attendant ""evacuation from the right"".
The flight attendants opened all aircraft passenger doors and the escape slides deployed. Most of passengers were evacuated from the left forward door (L1).
Both aircraft sustained substantial damage. There were no reported injuries to the accident. 
The outer portion of the left wing of the Boeing 737, about 5,75 m, was severed. The ATR-42s left hand wing, outboard of the no.1 engine, was severed, along with the entire empennage.";19:55;ATR 42-600;TransNusa Aviation Mandiri;Monday 4 April 2016
