"Vermeden verbruik fossiele energie en emissie CO2"
"Energietoepassingen: Totaal energietoepassingen"
""
"Perioden";"2023**";"2023**";"2024**";"2024**"
"Onderwerp";"Vermeden verbruik van fossiele energie|Vermeden verbruik";"Vermeden emissie van kooldioxide (CO2)|Vermeden emissie";"Vermeden verbruik van fossiele energie|Vermeden verbruik";"Vermeden emissie van kooldioxide (CO2)|Vermeden emissie"
"Bron/techniek";"TJ";"kton";"TJ";"kton"
"Totaal energiebronnen";"524438";"32089";"595772";"36492"
"Waterkracht";"681";"40";"674";"39"
"Totaal windenergie";"216757";"12595";"259344";"15070"
"Windenergie op land";"127268";"7395";"139147";"8086"
"Windenergie op zee";"89489";"5200";"120197";"6984"
"Totaal zonne-energie";"159297";"9254";"172902";"10045"
"Zonnestroom";"158030";"9183";"171660";"9975"
"Zonnewarmte";"1266";"71";"1242";"70"
"Totaal aardwarmte en bodemenergie";"12646";"711";"13608";"764"
"Aardwarmte";"6791";"381";"7471";"419"
"Totaal bodemenergie";"5855";"330";"6138";"345"
"Bodemwarmte, totaal";"4536";"246";"4819";"262"
"Bodemwarmte, warmtepompen";"4346";"236";"4629";"251"
"Bodemwarmte, zonder warmtepompen";"190";"11";"190";"11"
"Bodemkoude";"1319";"84";"1319";"84"
"Buitenluchtwarmte";"5874";"283";"6978";"336"
"Totaal biomassa";"129184";"9206";"142266";"10238"
"Afvalverbrandingsinstallaties";"21582";"1238";"21033";"1206"
"Bij- en meestoken biomassa in centrales";"31967";"3027";"27551";"2609"
"Totaal biomassa huishoudens";"11600";"653";"11680";"658"
"Biomassa huishoudens, openhaarden";"180";"10";"173";"10"
"Biomassa huishoudens, inzethaarden";"1658";"93";"1672";"94"
"Biomassa huishoudens, houtkachels";"7698";"433";"7663";"431"
"Biomassa huishoudens, pelletkachels";"2064";"116";"2172";"122"
"Biomassa huishoudens, houtskoolverbruik";"";"";"";""
"Totaal biomassaketels bedrijven";"24800";"1409";"24787";"1407"
"Biomassaketels bedrijven, WKK";"13706";"784";"13739";"785"
"Biomassaketels bedrijven, alleen warmte";"11094";"625";"11048";"622"
"Totaal biogas";"11079";"660";"11158";"665"
"Biogas uit stortplaatsen";"313";"18";"313";"18"
"Biogas rioolwaterzuiveringsinstallaties";"2057";"120";"2057";"120"
"Biogas, co-vergisting van mest";"4749";"286";"4677";"282"
"Overig biogas";"3960";"236";"4110";"245"
"Vloeibare biotransportbrandstof, totaal";"28157";"2218";"46056";"3693"
"Biobenzine";"10781";"794";"10752";"804"
"Biodiesel";"14730";"1196";"30187";"2444"
"Biokerosine";"2646";"229";"5117";"444"
"Bron: CBS"
