longitude,latitude,DataOwner Code = OVA,Quay-nr CHB,Haltenr vv,Duplicaat haltenr,Haltebordnr,Haltenaam CHB,Haltenaam CHB correctie,Perron-aanduiding,Woonplaats,Woonplaats correctie,Gemeente code,Gemeente naam,Wegbeheerder naam,Wegbeheerder naam correctie,Wegbeheerder type,Wegbeheerder type correctie,Straat,Straat correctie,Locatieomschrijving,Lijnen en Bestemmingen,Hoofdmodaliteit,StopPlace Code CHB,Tweede Modaliteit CHB,StopPlace Code CHB correctie,RD-X correctie,RD-Y correctie,Windroosrichting [graden],Windroosrichting correctie [graden],Status,Status correctie,Type halte,Type halte correctie,Opnamedatum + tijdstip / ingangsdatum,Aanpassing motorisch beperkten [Y/N],Aanpassing visueel beperkten [Y/N],Perrontype,Diepte haltehaven [meter],Halteerlengte inrijhoek [meter],Lengte halteerplaats [meter],Halteerlengte uitrijhoek [meter],Perron hoogte [meter],Perronbreedte instapdeur [meter],Perronbreedte uitstapdeur [meter],Lengte verhoogde deel perron [meter],Minimale breedte barriere vrije doorgang perron [meter],Hellingbaan aanwezig? [Y/N],Lengte hellingbaan [meter],Breedte aanlooproute/hellingbaan [meter],Hoogteverschil tussen perron en directe omgeving [meter],Markering perronrand [Y/N],Geleidelijn aanwezig [Y/N],Geleidelijn over hele lengte halte [Y/N],Aansluiting geleidelijn op omgeving [Y/N],Instap-markering aanwezig [Y/N],Instap-markering afwijking in kleur - klank en/of tast [Y/N],Haltebord aanwezig [Y/N],Niveau [-2 / -1 / 0 / 1 / 2],Lift aanwezig [Y/N],Afvalbak aanwezig? [Y/N],Halte verlicht? [Y/N],Abri Aanwezig [Y/N],Informatie-vitrine aanwezig [Y/N],Reclame in abri? [Y/N],Zitgelegenheid aanwezig [Y/N],Fiets-parkeer-voorziening [Y/N],Aantal fietsplaatsen,OVC in-uitcheck op halte? [Y/N],OVC oplaad-faciliteit aanwezig op halte? [Y/N],Aanwezigheid statische reisinfo: Halte-vertrekstaat [Y/N],Lijnennet-kaart aanwezig? [Y/N],DRIS aanwezig? [Y/N],DRIS audioknop aanwezig? [Y/N],Aantal regels op DRIS,Haltefotoref,Opnamedatum foto,Opmerkingen,Perron toegankelijk vanuit directe omgeving? [Y/N],Stasteun [Y/N]
5.120412728384631,52.066069172284635,PUT,NL:Q:50001290,50001290,0,,t Goylaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,'t Goylaan,,,"10 Leidsche Rijn Ziekenhuis, 10 Lunetten NS, 265 De Uithof WKZ via Rijnsweerd, 47 Houten via Hoograven, 71 Doorn via De Uithof, 71 Drieb.-Zeist NS via De Uithof, 72 Bilthoven via De Uithof, 10 Leidsche Rijn Ziekenhuis, 10 Lunetten NS, 265 De Uithof WKZ via Rijnsweerd, 47 Houten via Hoograven, 71 Doorn via De Uithof, 71 Drieb.-Zeist NS via De Uithof, 72 Bilthoven via De Uithof",bus,nl.bus.50001290,,,,,101,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.12108356221848,52.066070688797943,PUT,NL:Q:50001300,50001300,0,,t Goylaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,'t Goylaan,,,"10 Leidsche Rijn via Kan'eiland, 265 Nieuwegein-Z via Plettenburg, 47 Utrecht CS Centrumzijde, 47 Utrecht CS via Doornkade, 71 Nieuwegein-C via De Uithof, 72 Nieuwegein-C via De Uithof, 72 Nieuwegein-Z via De Uithof, 10 Leidsche Rijn via Kan'eiland, 265 Nieuwegein-Z via Plettenburg, 47 Utrecht CS Centrumzijde, 47 Utrecht CS via Doornkade, 71 Nieuwegein-C via De Uithof, 72 Nieuwegein-C via De Uithof, 72 Nieuwegein-Z via De Uithof",bus,nl.bus.50001290,,,,,280,,available,,regular,,2012-08-01 09:21:00,Y,Y,langshalte,0,0,14,0,"0,18",3,3,14,1,N,0,2,"0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,Y,Y,0,03F63CF9-A8BF-481B-BE314D6A9EB0495E.JPG,2011-09-23 14:59:09,,N,N
5.09172768385803,52.081415341767922,PUT,NL:Q:50000050,50000050,0,,24 Oktoberplein,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Weg der Verenigde Naties,,,"25 Cartesiusweg via Oog in Al, 26 Vleuterweide via Langerak, 25 Cartesiusweg via Oog in Al, 26 Vleuterweide via Langerak",bus,nl.bus.50000050,,,,,250,,available,,regular,,2012-03-15 00:00:00,Y,N,haltehaven,3,24,24,15,"0,18","2,40","2,40",24,1,N,0,3,"0,12",Y,N,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,N,N,,,,,N,N
5.094057281423731,52.08211324035473,PUT,NL:Q:50000060,50000060,0,,24 Oktoberplein,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Weg der Verenigde Naties,,,"25 Utrecht CS Jaarbeurszijde, 26 Utrecht CS via Terwijde NS, 402 Utrecht CS , 402 Utrecht CS , 25 Utrecht CS Jaarbeurszijde, 26 Utrecht CS via Terwijde NS",bus,nl.bus.50000050,,,,,67,,available,,regular,,2012-03-15 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.092356442002616,52.078981143637584,PUT,NL:Q:50002090,50002090,0,,24 OktoberpleinZuid,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"60 Nieuwegein Zuid, 61 IJsselstein Zuid, 61 Utrecht P+R Westraven, 60 Nieuwegein Zuid, 61 IJsselstein Zuid, 61 Utrecht P+R Westraven",tram,nl.tram.50002090,,,,,164,,available,,regular,,2014-09-24 19:13:00,Y,Y,langshalte,0,0,0,0,"0,85","2,10","2,10","64,80","1,69",Y,12,"1,50","0,85",N,Y,Y,Y,N,N,N,0,N,Y,Y,Y,Y,N,Y,N,0,Y,Y,Y,Y,Y,Y,3,1D854130-C387-40D6-8E7C5E192AF1AB46.jpg,2014-12-05 15:07:51,,N,N
5.092352592854207,52.079565359942286,PUT,NL:Q:50002100,50002100,0,,24 OktoberpleinZuid,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"60 Utrecht CS Jaarbeursplein, 61 Utrecht CS Jaarbeursplein, 60 Utrecht CS Jaarbeursplein, 61 Utrecht CS Jaarbeursplein",tram,nl.tram.50002090,,,,,327,,available,,regular,,2014-09-24 19:19:00,Y,Y,langshalte,0,0,0,0,"0,80","2,25","2,25","65,80","1,76",Y,12,"1,80","0,80",Y,Y,Y,Y,N,N,N,0,N,Y,Y,Y,Y,N,Y,N,0,Y,Y,Y,Y,Y,Y,3,D0D555E1-257E-48F0-A0B39E69C1D93FB0.jpg,2014-12-05 15:07:58,,N,N
5.092591499151728,52.078730064749486,PUT,NL:Q:50002310,50002310,0,,24 OktoberpleinZuid,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"10 Leidsche Rijn Ziekenhuis, 10 Lunetten NS, 14 Transwijk via Kan'eiland, 10 Leidsche Rijn Ziekenhuis, 10 Lunetten NS, 14 Transwijk via Kan'eiland",bus,nl.bus.50002310,,,,,160,,available,,regular,,2012-03-15 00:00:00,Y,Y,semi-haltehaven,"3,2",0,"37,3","16,6","0,18","3,30","2,90","23,40","1,50",N,0,"1,80",0,Y,Y,Y,Y,Y,Y,Y,0,N,Y,Y,Y,Y,Y,Y,Y,10,N,N,Y,Y,N,N,,22EDE460-FDAA-45EA-A0B2B9C83D815AA0.jpg,2014-12-05 15:08:05,,N,N
5.092029232491212,52.079933062437298,PUT,NL:Q:50002320,50002320,0,,24 OktoberpleinZuid,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"10 Leidsche Rijn via Kan'eiland, 14 Transwijk via Kan'eiland, 10 Leidsche Rijn via Kan'eiland, 14 Transwijk via Kan'eiland",bus,nl.bus.50002310,,,,,340,,available,,regular,,2012-03-15 00:00:00,Y,Y,langshalte,0,0,48,0,"0,18","2,10","2,10",44,"1,50",N,0,"1,20",0,Y,Y,Y,Y,Y,Y,Y,0,N,Y,Y,Y,Y,Y,Y,Y,6,Y,N,Y,Y,N,N,,B0EB0EE4-5BC6-4DF7-AF70A0E1D6051A7C.jpg,2014-12-05 15:08:11,,N,N
5.096130690504109,52.075107666964271,PUT,NL:Q:50002110,50002110,0,,5 Mei Plein,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"260 Spitstram Nieuwegein Zuid, 60 Nieuwegein Zuid, 61 IJsselstein Zuid, 61 Utrecht P+R Westraven, 260 Spitstram Nieuwegein Zuid, 60 Nieuwegein Zuid, 61 IJsselstein Zuid, 61 Utrecht P+R Westraven",tram,nl.tram.50002110,,,,,137,,available,,regular,,2014-09-24 19:02:00,Y,Y,langshalte,0,0,0,0,"0,82","2,55","1,90","64,80","1,49",Y,12,"1,95","0,82",N,Y,Y,Y,Y,Y,N,0,N,Y,Y,Y,Y,N,Y,N,0,Y,Y,Y,Y,Y,Y,3,B5878883-288F-4A99-ADEDF333190C92A2.jpg,2014-12-05 15:08:18,,N,N
5.09587903833715,52.07567329531696,PUT,NL:Q:50002120,50002120,0,,5 Mei Plein,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"260 Spitstram Utrecht CS Jaarbeursplein, 60 Utrecht CS Jaarbeursplein, 61 Utrecht CS Jaarbeursplein, 260 Spitstram Utrecht CS Jaarbeursplein, 60 Utrecht CS Jaarbeursplein, 61 Utrecht CS Jaarbeursplein",tram,nl.tram.50002110,,,,,322,,available,,regular,,2014-09-24 18:57:00,Y,Y,langshalte,0,0,0,0,"0,85","2,60","1,85","64,80","1,64",Y,12,2,"0,85",N,Y,Y,Y,Y,Y,Y,0,N,Y,Y,Y,Y,N,Y,N,0,Y,Y,Y,Y,Y,Y,3,1F32CD9E-BD1E-4B1E-84390421D378E9F9.jpg,2014-12-05 15:08:25,,N,N
5.115472263270662,52.09915199165291,PUT,NL:Q:50001850,50001850,0,,Adelaarstraat,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Adelaarstraat,,,"1 Hoograven via Utrecht CS, 1 Hoograven via Utrecht CS",bus,,,,,,252,,available,,regular,,2012-08-05 10:41:00,Y,Y,langshalte,0,0,18,0,"0,18","1,50","1,50",18,1,N,0,"1,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,N,N,N,N,N,0,N,N,N,N,N,N,,23336A79-DF0D-4908-A8168470AEBE52A1.JPG,2012-08-06 10:40:28,,N,N
5.115603392137818,52.099188245950153,PUT,NL:Q:50001860,50001860,0,,Adelaarstraat,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Adelaarstraat,,,"1 Overvecht via Utrecht CS, 1 Overvecht via Utrecht CS",bus,,,,,,74,,available,,regular,,2012-08-05 10:42:00,Y,Y,langshalte,0,0,18,0,"0,18","1,50","1,50",18,1,N,0,"1,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,N,N,N,N,N,0,N,N,N,N,N,N,,E8A53033-012E-489A-9CA41516CB9B1150.JPG,2012-08-06 10:41:41,,N,N
5.138965024940358,52.084112832707753,PUT,NL:Q:50006930,50006930,0,,Adriaen van Ostadelaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Adriaen van Ostadelaan,,,"18 Oorsprongpark, 8 Diakonessenhuis via Utrecht CS, 18 Oorsprongpark, 8 Diakonessenhuis via Utrecht CS",bus,nl.bus.50006930,,,,,,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.138891879226225,52.084148630961977,PUT,NL:Q:50006931,50006931,0,,Adriaen van Ostadelaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Mecklenburglaan,,,"18 Oorsprongpark, 18 Oorsprongpark",bus,nl.bus.50006930,,,,,330,,available,,regular,,2012-03-15 00:00:00,N,N,langshalte,0,0,26,0,"0,10","1,50","0,30",0,"1,20",N,0,"1,50",0,Y,N,N,N,N,N,Y,0,N,Y,Y,Y,Y,Y,Y,N,0,N,N,Y,N,N,N,,4DF72F89-3439-4676-B0DB2AC7AF039AA9.jpg,2014-12-05 15:08:45,,N,N
5.139976846959336,52.083180199396125,PUT,NL:Q:50006940,50006940,0,,Adriaen van Ostadelaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Adriaen van Ostadelaan,,,"8 Lunetten via Utrecht CS, 8 Lunetten via Utrecht CS",bus,nl.bus.50006930,,,,,321,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.099715545772225,52.071098784848658,PUT,NL:Q:50000610,50000610,0,,Afrikalaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"10 Leidsche Rijn Ziekenhuis, 10 Lunetten NS, 10 Leidsche Rijn Ziekenhuis, 10 Lunetten NS",bus,,,,,,137,,available,,regular,,2011-04-19 12:57:00,N,N,haltehaven,"3,5",10,18,10,"0,18","0,90","0,90",18,1,N,0,"1,50","0,09",Y,N,N,N,N,N,Y,0,N,Y,Y,Y,N,N,Y,N,0,N,N,Y,N,N,N,,67A81155-C060-41EA-88720B8A88325183.JPG,2011-04-20 12:56:56,,N,N
5.099155012929717,52.07207711925593,PUT,NL:Q:50003260,50003260,0,,Afrikalaan,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Beneluxlaan,,,"10 Leidsche Rijn via Kan'eiland, 10 Leidsche Rijn via Kan'eiland",bus,,,,,,317,,available,,regular,,2011-04-19 12:54:00,N,N,haltehaven,"3,5",10,18,12,"0,18","0,60","0,60",18,1,N,0,"1,50","0,09",Y,N,N,N,N,N,Y,0,N,N,Y,N,N,N,N,N,0,N,N,N,N,N,N,,3306A2D8-EC81-445C-908C5A40520515BC.JPG,2011-04-20 12:53:32,,N,N
5.013664267386686,52.10586616205449,PUT,NL:Q:51200330,51200330,0,,Albert Schweitzerlaan,,,Vleuten,,GM0344,Utrecht,Utrecht,,G,,Albert Schweitzerlaan,,,"125 Vleuten-Dorp, 125 Vleuten-Dorp",bus,nl.bus.51200330,,,,,272,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.018055448378647,52.104387968584724,PUT,NL:Q:51200250,51200250,0,,Alenveltpark,,,Vleuten,,GM0344,Utrecht,Utrecht,,G,,Pastoor Ohllaan,,,"126 Maarssen NS via Vleuten, 420 Loenen ad Vecht Kerklaan, 126 Maarssen NS via Vleuten, 420 Loenen ad Vecht Kerklaan",bus,nl.bus.51200250,,,,,67,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.017793616346893,52.10427929159794,PUT,NL:Q:51200260,51200260,0,,Alenveltpark,,,Vleuten,,GM0344,Utrecht,Utrecht,,G,,Pastoor Ohllaan,,,"126 De Meern Oost via Vleuten, 126 De Meern Oost via Vleuten",bus,nl.bus.51200250,,,,,247,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.102304312605102,52.118085689836832,PUT,NL:Q:59151970,59151970,0,,Amazonedreef,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Amazonedreef,,,"6 Utrecht CS Centrumzijde, 6 Utrecht CS Centrumzijde",bus,,,,,,135,,available,,regular,,2011-03-20 14:45:00,Y,Y,langshalte,0,18,0,0,"0,18",2,2,18,1,N,0,2,"0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,N,N,,7615DA55-B6C7-4BFB-8EDC113378158CD4.JPG,2011-03-21 14:45:10,,N,N
5.10190752312912,52.118489192235863,PUT,NL:Q:59151980,59151980,0,,Amazonedreef,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Amazonedreef,,,"6 Overvecht-Noord via Nijenoord, 6 Overvecht-Noord via Nijenoord",bus,,,,,,315,,available,,regular,,2011-03-20 14:46:00,Y,Y,langshalte,0,18,0,0,"0,18","2,50","2,50",18,1,N,0,"2,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,N,N,,358EB7A6-170D-4C2C-B54E7B1952A33E28.JPG,2011-03-21 14:46:22,,N,N
5.044933355798547,52.122606950984142,PUT,NL:Q:59140220,59140220,0,,Ambachtsweg,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Maarssenbroeksedijk,,,"38 Utrecht CS via Lage Weide, 48 Nieuwegein via L. Rijn NS, 38 Utrecht CS via Lage Weide, 48 Nieuwegein via L. Rijn NS",bus,,,,,,128,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.045946982243338,52.121809951729318,PUT,NL:Q:59140230,59140230,0,,Ambachtsweg,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Maarssenbroeksedijk,,,"38 Maarssen NS via Lage Weide, 48 Maarssen NS via Papendorp, 48 Papendorp via Nieuwegein, 38 Maarssen NS via Lage Weide, 48 Maarssen NS via Papendorp, 48 Papendorp via Nieuwegein",bus,,,,,,309,,available,,regular,,2013-05-20 00:00:00,N,N,langshalte,0,0,0,0,0,0,0,0,0,N,0,0,0,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,,,,,N,N
5.10105071613271,52.124607963080017,PUT,NL:Q:59150710,59150710,0,,Ammandreef,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Ammandreef,,,"9 Utrecht CS Centrumzijde, 9 Utrecht CS Centrumzijde",bus,,,,,,61,,available,,regular,,2011-03-20 14:26:00,Y,Y,langshalte,0,18,0,0,"0,18","2,50","2,50",18,1,N,0,"2,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,N,N,,768E4F2C-8E47-4326-963BC5D8A9CE5BBA.JPG,2011-03-21 14:26:17,,N,N
5.100817883517394,52.124481565772292,PUT,NL:Q:59150720,59150720,0,,Ammandreef,,,Utrecht,,GM0344,Utrecht,Utrecht,,G,,Ammandreef,,,"9 Overvecht-Noord via Talmalaan, 9 Overvecht-Noord via Talmalaan",bus,,,,,,240,,available,,regular,,2011-03-20 14:25:00,Y,Y,langshalte,0,18,0,0,"0,18","2,50","2,50",18,1,N,0,"2,50","0,09",Y,Y,N,N,N,N,Y,0,N,Y,Y,Y,Y,N,Y,N,0,N,N,Y,N,N,N,,E681157E-7F72-4386-AD2376846E601B83.JPG,2011-03-21 14:25:11,,N,N
